service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RINFRA-801-2_Saturday-00,0,0,0,0,0,1,0,20180908,20180908
RINFRA-801-3_Sunday-07,0,0,0,0,0,0,1,20180909,20180909
RINFRA-801-1_Weekday-90,1,1,1,1,1,0,0,20180910,20180920
RINFRA-801-1_Weekday-16,1,1,1,1,1,0,0,20180911,20180911
RINFRA-801-1_Weekday-21,1,1,1,1,1,0,0,20180912,20180912
RINFRA-801-1_Weekday-91,1,1,1,1,1,0,0,20180914,20180921
RINFRA-801-2_Saturday-90,0,0,0,0,0,1,0,20180915,20180922
RINFRA-801-3_Sunday-90,0,0,0,0,0,0,1,20180916,20180916
RINFRA-804-2_Saturday-17,0,0,0,0,0,1,0,20180908,20180908
RINFRA-804-3_Sunday-14,0,0,0,0,0,0,1,20180909,20180909
RINFRA-804-1_Weekday-31,1,1,1,1,1,0,0,20180910,20180911
RINFRA-804-1_Weekday-35,1,1,1,1,1,0,0,20180912,20180913
RINFRA-804-1_Weekday-09,1,1,1,1,1,0,0,20180914,20180914
RINFRA-804-2_Saturday-19,0,0,0,0,0,1,0,20180915,20180915
RINFRA-804-3_Sunday-90,0,0,0,0,0,0,1,20180916,20180916
RINFRA-804-1_Weekday-90,1,1,1,1,1,0,0,20180917,20180920
RINFRA-804-1_Weekday-91,1,1,1,1,1,0,0,20180921,20180921
RINFRA-804-2_Saturday-90,0,0,0,0,0,1,0,20180922,20180922
RINFRA-803-2_Saturday-90,0,0,0,0,0,1,0,20180908,20180922
RINFRA-803-3_Sunday-16,0,0,0,0,0,0,1,20180909,20180909
RINFRA-803-1_Weekday-20,1,1,1,1,1,0,0,20180910,20180913
RINFRA-803-1_Weekday-34,1,1,1,1,1,0,0,20180914,20180914
RINFRA-803-2_Saturday-10,0,0,0,0,0,1,0,20180915,20180915
RINFRA-803-3_Sunday-90,0,0,0,0,0,0,1,20180916,20180916
RINFRA-803-1_Weekday-90,1,1,1,1,1,0,0,20180917,20180920
RINFRA-803-1_Weekday-91,1,1,1,1,1,0,0,20180921,20180921
RINFRA-802-2_Saturday-15,0,0,0,0,0,1,0,20180908,20180908
RINFRA-802-3_Sunday-11,0,0,0,0,0,0,1,20180909,20180909
RINFRA-802-1_Weekday-15,1,1,1,1,1,0,0,20180910,20180913
RINFRA-802-1_Weekday-48,1,1,1,1,1,0,0,20180914,20180914
RINFRA-802-2_Saturday-90,0,0,0,0,0,1,0,20180915,20180922
RINFRA-802-3_Sunday-90,0,0,0,0,0,0,1,20180916,20180916
RINFRA-802-1_Weekday-90,1,1,1,1,1,0,0,20180917,20180920
RINFRA-802-1_Weekday-91,1,1,1,1,1,0,0,20180921,20180921
