service_id,date,exception_type
18U_S,20180618,1
18U_S,20180619,1
18U_S,20180620,1
18U_S,20180621,1
18U_SV,20180622,1
18U_S,20180622,1
18U_A,20180623,1
18U_I,20180624,1
18U_F1,20180625,1
18U_S,20180626,1
18U_S,20180627,1
18U_S,20180628,1
18U_SV,20180629,1
18U_S,20180629,1
18U_A,20180630,1
18U_I,20180701,1
18U_F2,20180702,1
18U_S,20180703,1
18U_S,20180704,1
18U_S,20180705,1
18U_SV,20180706,1
18U_S,20180706,1
18U_A,20180707,1
18U_I,20180708,1
18U_S,20180709,1
18U_S,20180710,1
18U_S,20180711,1
18U_S,20180712,1
18U_SV,20180713,1
18U_S,20180713,1
18U_A,20180714,1
18U_I,20180715,1
18U_S,20180716,1
18U_S,20180717,1
18U_S,20180718,1
18U_S,20180719,1
18U_SV,20180720,1
18U_S,20180720,1
18U_A,20180721,1
18U_I,20180722,1
18U_S,20180723,1
18U_S,20180724,1
18U_S,20180725,1
18U_S,20180726,1
18U_SV,20180727,1
18U_S,20180727,1
18U_A,20180728,1
18U_I,20180729,1
18U_S,20180730,1
18U_S,20180731,1
18U_S,20180801,1
18U_S,20180802,1
18U_SV,20180803,1
18U_S,20180803,1
18U_A,20180804,1
18U_I,20180805,1
18U_S,20180806,1
18U_S,20180807,1
18U_S,20180808,1
18U_S,20180809,1
18U_SV,20180810,1
18U_S,20180810,1
18U_A,20180811,1
18U_I,20180812,1
18U_S,20180813,1
18U_S,20180814,1
18U_S,20180815,1
18U_S,20180816,1
18U_SV,20180817,1
18U_S,20180817,1
18U_A,20180818,1
18U_I,20180819,1
18U_S,20180820,1
18U_S,20180821,1
18U_S,20180822,1
18U_S,20180823,1
18U_SV,20180824,1
18U_S,20180824,1
18U_A,20180825,1
18U_I,20180826,1
18S_S,20180827,1
18S_S,20180828,1
18S_S,20180829,1
18S_S,20180830,1
18S_SV,20180831,1
18S_S,20180831,1
18S_A,20180901,1
18S_I,20180902,1
18S_F1,20180903,1
18S_S,20180904,1
18S_S,20180905,1
18S_S,20180906,1
18S_SV,20180907,1
18S_S,20180907,1
18S_A,20180908,1
18S_I,20180909,1
18S_S,20180910,1
18S_S,20180911,1
18S_S,20180912,1
18S_S,20180913,1
18S_SV,20180914,1
18S_S,20180914,1
18S_A,20180915,1
18S_I,20180916,1
18S_S,20180917,1
18S_S,20180918,1
18S_S,20180919,1
18S_S,20180920,1
18S_SV,20180921,1
18S_S,20180921,1
18S_A,20180922,1
18S_I,20180923,1
18S_S,20180924,1
18S_S,20180925,1
18S_S,20180926,1
18S_S,20180927,1
18S_SV,20180928,1
18S_S,20180928,1
18S_A,20180929,1
18S_I,20180930,1
18S_S,20181001,1
18S_S,20181002,1
18S_S,20181003,1
18S_S,20181004,1
18S_SV,20181005,1
18S_S,20181005,1
18S_A,20181006,1
18S_I,20181007,1
18S_F2,20181008,1
18S_S,20181009,1
18S_S,20181010,1
18S_S,20181011,1
18S_SV,20181012,1
18S_S,20181012,1
18S_A,20181013,1
18S_I,20181014,1
18S_S,20181015,1
18S_S,20181016,1
18S_S,20181017,1
18S_S,20181018,1
18S_SV,20181019,1
18S_S,20181019,1
18S_A,20181020,1
18S_I,20181021,1
18S_S,20181022,1
18S_S,20181023,1
18S_S,20181024,1
18S_S,20181025,1
18S_SV,20181026,1
18S_S,20181026,1
18S_A,20181027,1
18S_I,20181028,1
