trip_id,start_time,end_time,headway_secs
18S_18S_S_1_3,05:30:00,05:40:00,600
18S_18S_S_1_3,05:40:00,05:59:00,570
18S_18S_S_1_3,05:59:00,06:15:00,480
18S_18S_S_1_3,06:15:00,06:29:00,420
18S_18S_S_1_3,06:29:00,06:35:00,360
18S_18S_S_1_3,06:35:00,06:45:00,300
18S_18S_S_1_3,06:45:00,06:59:00,280
18S_18S_S_1_3,06:59:00,07:07:00,240
18S_18S_S_1_3,07:07:00,07:30:20,200
18S_18S_S_1_3,07:30:20,07:33:25,185
18S_18S_S_1_3,07:33:25,07:45:05,175
18S_18S_S_1_3,07:45:05,07:47:55,170
18S_18S_S_1_3,07:47:55,08:48:25,165
18S_18S_S_1_3,08:48:25,08:54:45,190
18S_18S_S_1_3,08:54:45,09:11:25,200
18S_18S_S_1_3,09:11:25,09:29:45,220
18S_18S_S_1_3,09:29:45,09:46:45,255
18S_18S_S_1_3,09:46:45,10:02:30,315
18S_18S_S_1_3,10:02:30,10:13:30,330
18S_18S_S_1_3,10:13:30,15:13:30,360
18S_18S_S_1_3,15:13:30,15:18:30,300
18S_18S_S_1_3,15:18:30,15:23:00,270
18S_18S_S_1_3,15:23:00,15:27:10,250
18S_18S_S_1_3,15:27:10,16:19:40,225
18S_18S_S_1_3,16:19:40,16:48:55,195
18S_18S_S_1_3,16:48:55,17:24:55,180
18S_18S_S_1_3,17:24:55,17:41:10,195
18S_18S_S_1_3,17:41:10,18:52:25,225
18S_18S_S_1_3,18:52:25,18:56:20,235
18S_18S_S_1_3,18:56:20,19:00:20,240
18S_18S_S_1_3,19:00:20,19:18:20,270
18S_18S_S_1_3,19:18:20,19:27:50,285
18S_18S_S_1_3,19:27:50,22:27:50,300
18S_18S_S_1_3,22:27:50,22:33:45,355
18S_18S_S_1_3,22:33:45,22:57:45,360
18S_18S_S_1_3,22:57:45,24:00:45,420
18S_18S_S_1_3,24:00:45,24:08:00,435
18S_18S_S_1_3,24:08:00,24:38:00,450
18S_18S_S_1_2,05:30:00,05:40:00,600
18S_18S_S_1_2,05:40:00,05:48:30,510
18S_18S_S_1_2,05:48:30,05:56:00,450
18S_18S_S_1_2,05:56:00,06:14:00,360
18S_18S_S_1_2,06:14:00,06:19:30,330
18S_18S_S_1_2,06:19:30,06:29:30,300
18S_18S_S_1_2,06:29:30,06:57:30,240
18S_18S_S_1_2,06:57:30,07:08:00,210
18S_18S_S_1_2,07:08:00,08:42:15,195
18S_18S_S_1_2,08:42:15,09:22:35,220
18S_18S_S_1_2,09:22:35,09:27:35,300
18S_18S_S_1_2,09:27:35,09:32:50,315
18S_18S_S_1_2,09:32:50,09:38:15,325
18S_18S_S_1_2,09:38:15,14:50:15,360
18S_18S_S_1_2,14:50:15,14:55:25,310
18S_18S_S_1_2,14:55:25,15:00:05,280
18S_18S_S_1_2,15:00:05,15:04:30,265
18S_18S_S_1_2,15:04:30,15:36:30,240
18S_18S_S_1_2,15:36:30,15:40:00,210
18S_18S_S_1_2,15:40:00,16:06:00,195
18S_18S_S_1_2,16:06:00,16:18:00,180
18S_18S_S_1_2,16:18:00,17:15:45,165
18S_18S_S_1_2,17:15:45,17:35:15,195
18S_18S_S_1_2,17:35:15,17:56:15,210
18S_18S_S_1_2,17:56:15,18:30:00,225
18S_18S_S_1_2,18:30:00,18:34:00,240
18S_18S_S_1_2,18:34:00,19:05:30,270
18S_18S_S_1_2,19:05:30,22:30:30,300
18S_18S_S_1_2,22:30:30,22:54:30,360
18S_18S_S_1_2,22:54:30,23:36:30,420
18S_18S_S_1_2,23:36:30,23:59:00,450
18S_18S_S_1_2,23:59:00,24:07:15,495
18S_18S_S_1_2,24:07:15,24:25:15,540
18S_18S_S_1_2,24:25:15,24:35:00,585
18S_18S_S_2_1,05:29:55,06:23:55,360
18S_18S_S_2_1,06:23:55,06:28:30,275
18S_18S_S_2_1,06:28:30,07:06:20,225
18S_18S_S_2_1,07:06:20,07:10:00,220
18S_18S_S_2_1,07:10:00,07:16:50,205
18S_18S_S_2_1,07:16:50,07:46:05,195
18S_18S_S_2_1,07:46:05,07:48:55,170
18S_18S_S_2_1,07:48:55,07:51:35,160
18S_18S_S_2_1,07:51:35,07:56:45,155
18S_18S_S_2_1,07:56:45,08:11:45,150
18S_18S_S_2_1,08:11:45,08:14:25,160
18S_18S_S_2_1,08:14:25,08:19:25,150
18S_18S_S_2_1,08:19:25,08:22:05,160
18S_18S_S_2_1,08:22:05,08:27:05,150
18S_18S_S_2_1,08:27:05,08:29:45,160
18S_18S_S_2_1,08:29:45,08:32:15,150
